Date,Accident Location,Latitude,Longitude
2020-06-16 00:00:00,Bhatia,N21° 06' 37.92'',E73° 21' 11.39''
2020-06-17 00:00:00,Bhatpore,N21° 09' 48.73'',E73° 33' 3.03''
2020-06-19 00:00:00,Ichchhapore,N21° 10' 50.44'',E73° 34' 57.61''
2020-06-20 00:00:00,Magdalla,N21° 09' 3.84'',E73° 31' 35.14''
2020-06-21 00:00:00,Hazira,N21° 09' 54.09'',E73° 39' 27.56''
2020-06-23 00:00:00,Virpur,N21° 06' 43.65'',E72° 49' 48.21''
2020-06-24 00:00:00,Juni Kikwad,N21° 06' 14.45'',E73° 06' 11.84''
2020-06-25 00:00:00,Maypur,N21° 05' 10.53'',E72° 57' 30.32''
2020-06-25 00:00:00,Malekpore,N21° 06' 16.3'',E73° 17' 6.92''
2020-06-27 00:00:00,Navi Kikwad,N21° 06' 27.84'',E73° 07' 3.42''
2020-06-29 00:00:00,Bhadbhunja,N21° 08' 56.63'',E72° 39' 42.22''
2020-07-04 00:00:00,Chorvad,N21° 07' 10.8'',E72° 48' 51.2''
2020-07-05 00:00:00,Malekpor,N21° 06' 16.3'',E73° 17' 6.92''
2020-07-07 00:00:00,Mandal,N21° 06' 47.02'',E72° 49' 40.37''
2020-07-09 00:00:00,Bardoli,N21° 06' 30.08'',E73° 10' 56.13''
2020-07-10 00:00:00,Hazira,N21° 09' 41.26'',E73° 42' 36.4''
2020-07-11 00:00:00,Ena,N21° 05' 55.25'',E73° 16' 2.18''
2020-07-12 00:00:00,Budiya,N21° 07' 48.89'',E73° 27' 15.67''
2020-07-13 00:00:00,Songadh,N21° 09' 35.05'',E72° 44' 17.47''
2020-07-14 00:00:00,Ena,N21° 05' 51.31'',E73° 14' 50.76''
2020-07-17 00:00:00,Sonarpada ,N21° 08' 53.28'',E72° 44' 40.66''
2020-07-20 00:00:00,Chorvad,N21° 07' 9.54'',E72° 48' 54.4''
2020-07-22 00:00:00,Pokaran,N21° 07' 56.74'',E72° 45' 30.71''
2020-07-26 00:00:00,Aafva,N21° 06' 34.06'',E73° 08' 30.93''
2020-07-26 00:00:00,Manekpur,N21° 05' 58.85'',E73° 02' 58.07''
2020-07-29 00:00:00,Damka,N21° 09' 59.28'',E73° 37' 50.54''
2020-07-29 00:00:00,Doswada,N21° 07' 43.33'',E72° 45' 54.46''
2020-07-31 00:00:00,Magdalla,N21° 08' 56.52'',E73° 31' 19.66''
2020-08-04 00:00:00,Mirkot,N21° 10' 45.64'',E72° 40' 28.33''
2020-08-09 00:00:00,Pakhari,N21° 11' 13.78'',E72° 42' 37.85''
2020-08-11 00:00:00,Runvalla,N21° 06' 27.71'',E73° 09' 15.01''
2020-08-11 00:00:00,Maypur,N21° 05' 10.44'',E72° 57' 18.2''
2020-08-13 00:00:00,Doswada,N21° 07' 41.63'',E72° 45' 57.41''
2020-08-13 00:00:00,Aafva,N21° 06' 33.68'',E73° 08' 41.31''
2020-08-14 00:00:00,Chorvad,N21° 07' 10.17'',E72° 48' 52.8''
2020-08-15 00:00:00,Songadh,N21° 09' 54.35'',E72° 44' 8.35''
