Date,Accident Location,Latitude,Longitude,Latitude_decimal,Longitude_decimal
2020-05-03 00:00:00,Virpur,N21° 06' 37.78'',E72° 50' 13.42'',21.110494,72.837061
2020-05-10 00:00:00,Abhava,N21° 08' 39.42'',E73° 30' 38.5'',21.144283,73.510694
2020-05-11 00:00:00,Chakadiya,N21° 06' 34.23'',E72° 50' 30.28'',21.109508,72.841744
2020-05-12 00:00:00,Hazira,N21° 10' 1.52'',E73° 41' 4.11'',21.167089,73.684475
2020-05-13 00:00:00,Vanz,N21° 07' 32.78'',E73° 22' 8.38'',21.125772,73.368994
2020-05-17 00:00:00,Tichakpur,N21° 05' 8.93'',E72° 55' 59.36'',21.085814,72.933156
2020-05-18 00:00:00,Etadva,N21° 05' 54.06'',E73° 18' 53.4'',21.09835,73.314833
2020-05-22 00:00:00,Zaranpada,N21° 10' 44.35'',E72° 40' 16.27'',21.178986,72.671186
2020-05-27 00:00:00,Malekpore,N21° 06' 16.3'',E73° 17' 6.92'',21.104528,73.285256
2020-05-28 00:00:00,Jamki,126.2,,,
2020-06-11 00:00:00,Bajipura,N21° 05' 25.91'',E73° 00' 32.38'',21.090531,73.008994
2020-06-13 00:00:00,Tadkuva,N21° 06' 13.19'',E72° 51' 28.43'',21.103664,72.857897
2020-06-14 00:00:00,Bhadbhunja,N21° 08' 52.23'',E72° 39' 40.11'',21.147842,72.661142
2020-06-14 00:00:00,Sonarpada,N21° 08' 53.28'',E72° 44' 40.66'',21.148133,72.744628
2020-06-16 00:00:00,Ena,N21° 05' 53.24'',E73° 14' 38.81'',21.098122,73.244114
2020-06-16 00:00:00,Bhatia,N21° 06' 37.92'',E73° 21' 11.39'',21.110533,73.353164
2020-06-17 00:00:00,Bhatpore,N21° 09' 48.73'',E73° 33' 3.03'',21.163536,73.550842
2020-06-19 00:00:00,Ichchhapore,N21° 10' 50.44'',E73° 34' 57.61'',21.180678,73.582669
2020-06-20 00:00:00,Magdalla,N21° 09' 3.84'',E73° 31' 35.14'',21.151067,73.526428
2020-06-21 00:00:00,Hazira,N21° 09' 54.09'',E73° 39' 27.56'',21.165025,73.657656
2020-06-23 00:00:00,Virpur,N21° 06' 43.65'',E72° 49' 48.21'',21.112125,72.830058
2020-06-24 00:00:00,Juni Kikwad,N21° 06' 14.45'',E73° 06' 11.84'',21.104014,73.103289
2020-06-25 00:00:00,Maypur,N21° 05' 10.53'',E72° 57' 30.32'',21.086258,72.958422
2020-06-25 00:00:00,Malekpore,N21° 06' 16.3'',E73° 17' 6.92'',21.104528,73.285256
2020-06-27 00:00:00,Navi Kikwad,N21° 06' 27.84'',E73° 07' 3.42'',21.107733,73.117617
2020-06-29 00:00:00,Bhadbhunja,N21° 08' 56.63'',E72° 39' 42.22'',21.149064,72.661728
2020-07-04 00:00:00,Chorvad,N21° 07' 10.8'',E72° 48' 51.2'',21.119667,72.814222
2020-07-05 00:00:00,Malekpor,N21° 06' 16.3'',E73° 17' 6.92'',21.104528,73.285256
2020-07-07 00:00:00,Mandal,N21° 06' 47.02'',E72° 49' 40.37'',21.113061,72.827881
2020-07-09 00:00:00,Bardoli,N21° 06' 30.08'',E73° 10' 56.13'',21.108356,73.182258
2020-07-10 00:00:00,Hazira,N21° 09' 41.26'',E73° 42' 36.4'',21.161461,73.710111
2020-07-11 00:00:00,Ena,N21° 05' 55.25'',E73° 16' 2.18'',21.098681,73.267272
2020-07-12 00:00:00,Budiya,N21° 07' 48.89'',E73° 27' 15.67'',21.130247,73.454353
2020-07-13 00:00:00,Songadh,N21° 09' 35.05'',E72° 44' 17.47'',21.159736,72.738186
2020-07-14 00:00:00,Ena,N21° 05' 51.31'',E73° 14' 50.76'',21.097586,73.247433
2020-07-17 00:00:00,Sonarpada ,N21° 08' 53.28'',E72° 44' 40.66'',21.148133,72.744628
2020-07-20 00:00:00,Chorvad,N21° 07' 9.54'',E72° 48' 54.4'',21.119317,72.815111
2020-07-22 00:00:00,Pokaran,N21° 07' 56.74'',E72° 45' 30.71'',21.132428,72.758531
2020-07-26 00:00:00,Aafva,N21° 06' 34.06'',E73° 08' 30.93'',21.109461,73.141925
2020-07-26 00:00:00,Manekpur,N21° 05' 58.85'',E73° 02' 58.07'',21.099681,73.049464
2020-07-29 00:00:00,Damka,N21° 09' 59.28'',E73° 37' 50.54'',21.166467,73.630706
2020-07-29 00:00:00,Doswada,N21° 07' 43.33'',E72° 45' 54.46'',21.128703,72.765128
2020-07-31 00:00:00,Magdalla,N21° 08' 56.52'',E73° 31' 19.66'',21.149033,73.522128
2020-08-04 00:00:00,Mirkot,N21° 10' 45.64'',E72° 40' 28.33'',21.179344,72.674536
2020-08-09 00:00:00,Pakhari,N21° 11' 13.78'',E72° 42' 37.85'',21.187161,72.710514
2020-08-11 00:00:00,Runvalla,N21° 06' 27.71'',E73° 09' 15.01'',21.107697,73.154169
2020-08-11 00:00:00,Maypur,N21° 05' 10.44'',E72° 57' 18.2'',21.086233,72.955056
2020-08-13 00:00:00,Doswada,N21° 07' 41.63'',E72° 45' 57.41'',21.128231,72.765947
2020-08-13 00:00:00,Aafva,N21° 06' 33.68'',E73° 08' 41.31'',21.109356,73.144808
